JOB_NAME,JOB_ID,FILE_SIZE,PARALLELISM
KAFKA_TI,28dba81b-a9a7-4ed9-8709-b44fcdc7ac08,2 mb,16
CSV_GROUP,c2a5a14b-b294-4538-8284-98cc558f3ba4,2 mb,16
XML_GROUP,7f535866-a3a2-479e-887d-a008453d8f36,2 mb,16
JSON_GROUP,8af12640-b6f0-48e9-98d9-d99f9aa7e2b1,2 mb,16
CSV_CONTEXT,ca5fd137-c042-4343-88a3-8b54e0e05fbe,2 mb,16
XML_CONTEXT,d4cecf19-03dd-4d4f-9ef2-36b4cac02587,2 mb,16
JSON_CONTEXT,98f8e021-ab4a-40dc-bd36-cab79269d176,2 mb,16
KAFKA_CONTEXT,5b80803e-c785-4be3-9b73-79889d60df08,2 mb,16
KAFKA_GROUP,313fff56-6db1-4b19-abda-c16e0300a2d1,2 mb,16
CSV_NEO4J,c52fe14b-6f26-4627-b9dd-cb274e428ccd,2 mb,16
KAFKA_REDIS,808d678a-f7c2-4954-a801-55ed2918ebe4,2 mb,16
KAFKA_RSOCKET,ed83ccbe-a939-4e6f-a723-9959d054c588,2 mb,16
KAFKA_WEBSOCKET,69de83f5-8648-4d33-938a-a9be298621a1,2 mb,16
KAFKA_MONGO,9532520a-6471-4285-846f-3ca02e587470,2 mb,16
XML_MONGO,d965a0f1-7f74-4c64-980a-1a0917640dbf,2 mb,16
JSON_MONGO,91e750da-5d73-4176-9abc-3e78e264044b,2 mb,16
CSV_MONGO,a41ec75e-7839-478b-b528-d6426cef8a6d,2 mb,16
MQTT_CLICKHOUSE,55f3ac38-c4ff-4fbb-9612-95172a5df4a1,2 mb,16
JSON_ELASTIC,83672ddb-92db-41ba-8e5a-756c2379daf0,2 mb,16
KAFKA_ELASTIC,b39d2d79-a7a7-4aff-898e-a6be81d1b7e0,2 mb,16
MQTT_ELASTIC,b75ef398-6d86-4087-8244-27f229dbe838,2 mb,16
XML_ELASTIC,ea7b5c8c-e12b-428e-b4d5-1d1209470d7c,2 mb,16
CSV_TIDBAAS,cada7e8b-b9fa-4d36-abb0-9f1088f77fa8,2 mb,16
CSV_NEO4JDBAAS,46469477-b3c5-4ea5-a787-bafa142f9044,2 mb,16
CSV_ELASTIC,92fe35fe-ec12-44b5-be26-de869e90a2e0,2 mb,16
CSV_MONGODBAAS,ebabf9e2-90fb-44ec-8105-2abc009c1448,2 mb,16
CSV_REDIS,815a237b-2d73-4b3a-8f32-1fb84eb67945,2 mb,32
XML_REDIS,9b7434d9-cfcd-4055-8f38-b12cd6a05b23,2 mb,32
JSON_REDIS,3904337e-cdb9-4cce-9994-7bb57a9706d3,2 mb,32
CSV_RSOCKET,57515735-ea07-460b-8973-b3fcb47c6f72,2 mb,32
JSON_RSOCKET,20282a31-1f6b-448d-b317-93ba348fb540,2 mb,32
XML_RSOCKET,38486b07-af17-40e1-a7c3-9a9c109e8136,2 mb,32
CSV_WEBSOCKET,908e582a-e6a3-41ef-ba6b-21d4f322c21a,2 mb,32
JSON_WEBSOCKET,a83d6d8e-7f30-45b1-839f-f0aeb81ea1b7,2 mb,32
XML_WEBSOCKET,d7395699-0a0c-4ba0-9835-98ab14a1bd89,2 mb,32
XML_POSTGIS,68ec5776-2d93-4a2c-8a80-3569ce5071fa,2 mb,32
JSON_POSTGIS,07d3c4aa-6f96-4730-9b62-e692adca7990,2 mb,32
CSV_POSTGIS,062ca153-2e29-463e-95a4-f95fc4415362,2 mb,32
CSV_INFLUX,0e7bba36-b71a-402b-a18a-f62ee5439983,2 mb,32
XML_INFLUX,41775f80-d8e3-4894-9863-315d782fb0f4,2 mb,32
